date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:24	47686/47686	---MCZ	200	added ('OK')	text/html	etag:cacheable:87f4f878fcacaca89274923942d657de	https://oldiesoldies.com/policies/shipping-policy	/Users/kenhung/tt/tttt/oldiesoldies.com/policies/shipping-policy.html	(from https://oldiesoldies.com/cart)
22:01:25	40829/40829	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:c35f757a326a006f02a8470934f800d9	https://oldiesoldies.com/collections/new-arrival.atom	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival.atom	(from https://oldiesoldies.com/collections/new-arrival)
22:01:26	73264/73264	---MCZ	200	added ('OK')	text/html	etag:cacheable:565fb87d91f4ca5fcdbc17b0af443f79	https://oldiesoldies.com/collections/new-arrival?page=2	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival4658.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:27	34894/34894	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:3cb177523eedaaaf57ed4651c64149ae	https://oldiesoldies.com/collections/new-arrival.oembed	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival.oembed	(from https://oldiesoldies.com/collections/new-arrival)
22:01:27	47802/47802	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:c12e871ac71f8908df835dd6075fe0bc	https://oldiesoldies.com/collections/GET	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/GET	(from https://oldiesoldies.com/collections/new-arrival)
22:01:28	47802/47802	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:c12e871ac71f8908df835dd6075fe0bc	https://oldiesoldies.com/collections/POST	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/POST	(from https://oldiesoldies.com/collections/new-arrival)
22:01:30	93671/93671	---MCZ	200	added ('OK')	text/html	etag:cacheable:0f0a778b48ceff68a3a14a727ea1a793	https://oldiesoldies.com/collections/new-arrival/products/vintage	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:31	98306/98306	---MCZ	200	added ('OK')	text/html	etag:cacheable:357aaf92a7ba887742a26dd9d7813e83	https://oldiesoldies.com/collections/new-arrival/products/1980s-vintage-necklace-1	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/1980s-vintage-necklace-1.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:32	88756/88756	---MCZ	200	added ('OK')	text/html	etag:cacheable:4a4816fbebe3e77627dc113a711d533a	https://oldiesoldies.com/collections/new-arrival/products/1980s-vintage-necklace	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/1980s-vintage-necklace.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:33	105366/105366	---MCZ	200	added ('OK')	text/html	etag:cacheable:cbede53f8fb25198ad7cceb05ce1310a	https://oldiesoldies.com/collections/new-arrival/products/vintage-belt-38	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-belt-38.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:34	136916/136916	---MCZ	200	added ('OK')	text/html	etag:cacheable:6c616e202fde62c88b1ba858ea20991f	https://oldiesoldies.com/collections/new-arrival/products/vintage-vivienne-westwood-backpack	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-vivienne-westwood-backpack.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:35	116340/116340	---MCZ	200	added ('OK')	text/html	etag:cacheable:1936f967f954e5d2491d8a66ea31c175	https://oldiesoldies.com/collections/new-arrival/products/vintage-belt-34	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-belt-34.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:36	110236/110236	---MCZ	200	added ('OK')	text/html	etag:cacheable:ccdfa86eeaed5f2629fe2ff180dbe9a4	https://oldiesoldies.com/collections/new-arrival/products/vintage-belt-32	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-belt-32.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:37	120423/120423	---MCZ	200	added ('OK')	text/html	etag:cacheable:41cfdf7b239994ecf19f9ee2331ce1cd	https://oldiesoldies.com/collections/new-arrival/products/vintage-belt-31	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-belt-31.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:38	122676/122676	---MCZ	200	added ('OK')	text/html	etag:cacheable:95fe86ecb89821179364ccc667c3715a	https://oldiesoldies.com/collections/new-arrival/products/vintage-belt-18	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-belt-18.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:39	141926/141926	---MCZ	200	added ('OK')	text/html	etag:cacheable:61c2f3a2c267acbde7004c937050c219	https://oldiesoldies.com/collections/new-arrival/products/vintage-deadstock-belt-black	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-deadstock-belt-black.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:40	114540/114540	---MCZ	200	added ('OK')	text/html	etag:cacheable:a7d550bb9f316da0dfdb9444d3defff2	https://oldiesoldies.com/collections/new-arrival/products/vintage-deadstock-belt	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/vintage-deadstock-belt.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:41	81939/81939	---MCZ	200	added ('OK')	text/html	etag:cacheable:e48562a311ebb938f546cd1528c5b063	https://oldiesoldies.com/collections/new-arrival/products/etienne-aigner-canvas-vintage-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/new-arrival/products/etienne-aigner-canvas-vintage-bag.html	(from https://oldiesoldies.com/collections/new-arrival)
22:01:41	21910/21910	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:0bf215d3cf43797a118f10f2c67060b9	https://oldiesoldies.com/collections/frontpage.atom	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage.atom	(from https://oldiesoldies.com/collections/frontpage)
22:01:43	17249/17249	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:5dac72f5b0c94bfdf1c9e07f3d5af2ad	https://oldiesoldies.com/collections/frontpage.oembed	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage.oembed	(from https://oldiesoldies.com/collections/frontpage)
22:01:44	129066/129066	---MCZ	200	added ('OK')	text/html	etag:cacheable:d58107e59589f19fd4992df5f729c6b1	https://oldiesoldies.com/collections/frontpage/products/granny-crochet-ribbon-tank-camel	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/granny-crochet-ribbon-tank-camel.html	(from https://oldiesoldies.com/collections/frontpage)
22:01:45	90026/90026	---MCZ	200	added ('OK')	text/html	etag:cacheable:a17cdf863615182511a1098a7acac839	https://oldiesoldies.com/collections/frontpage/products/granny-crochet-ribbon-tank-black	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/granny-crochet-ribbon-tank-black.html	(from https://oldiesoldies.com/collections/frontpage)
22:01:46	89385/89385	---MCZ	200	added ('OK')	text/html	etag:cacheable:55d231e8dad59fcf0edcd6b095df227a	https://oldiesoldies.com/collections/frontpage/products/puffy-top-linen	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/puffy-top-linen.html	(from https://oldiesoldies.com/collections/frontpage)
22:01:47	89930/89930	---MCZ	200	added ('OK')	text/html	etag:cacheable:137ec5a62f3a1dbb2a1b2a9156736979	https://oldiesoldies.com/collections/frontpage/products/ruffly-volume-skirt	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/frontpage/products/ruffly-volume-skirt.html	(from https://oldiesoldies.com/collections/frontpage)
22:01:47	67312/67312	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:ce64a6c9965b1b32d15d0dd603e0c6fb	https://oldiesoldies.com/collections/jute-bags.atom	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags.atom	(from https://oldiesoldies.com/collections/jute-bags)
22:01:49	105500/105500	---MCZ	200	added ('OK')	text/html	etag:cacheable:374c4baa2eb5a8edbefc49a74f6086bf	https://oldiesoldies.com/collections/jute-bags?page=2	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags4658.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:50	64574/64574	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:8e4ba749dac79d8f7a5c8ce649ea4f9d	https://oldiesoldies.com/collections/jute-bags.oembed	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags.oembed	(from https://oldiesoldies.com/collections/jute-bags)
22:01:51	85463/85463	---MCZ	200	added ('OK')	text/html	etag:cacheable:e92df19543a8217c0dad84826f514042	https://oldiesoldies.com/collections/jute-bags/products/super-chic-jute-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/super-chic-jute-bag.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:52	96332/96332	---MCZ	200	added ('OK')	text/html	etag:cacheable:3df0124eff7c1a84c8f394b7980ecea9	https://oldiesoldies.com/collections/jute-bags/products/natural-jute-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/natural-jute-bag.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:53	99971/99971	---MCZ	200	added ('OK')	text/html	etag:cacheable:9b749e3a44fe45b150690fa0715f2550	https://oldiesoldies.com/collections/jute-bags/products/straped-market-bag-2-colours	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/straped-market-bag-2-colours.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:54	89501/89501	---MCZ	200	added ('OK')	text/html	etag:cacheable:1066a8370554c8bc94b3037f9675a55a	https://oldiesoldies.com/collections/jute-bags/products/round-base-bucket-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/round-base-bucket-bag.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:55	80981/80981	---MCZ	200	added ('OK')	text/html	etag:cacheable:2d39ab6e95f8fba6decb2ce9a7ed134c	https://oldiesoldies.com/collections/jute-bags/products/border-bag-olive-grey	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/border-bag-olive-grey.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:56	80728/80728	---MCZ	200	added ('OK')	text/html	etag:cacheable:2bf52a0186a4b791a1a7dca1c18907cb	https://oldiesoldies.com/collections/jute-bags/products/border-bag-black-natural	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/border-bag-black-natural.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:57	93919/93919	---MCZ	200	added ('OK')	text/html	etag:cacheable:974e47066c322c39312cdca4f355b36e	https://oldiesoldies.com/collections/jute-bags/products/fringe-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/fringe-bag.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:58	96283/96283	---MCZ	200	added ('OK')	text/html	etag:cacheable:907d4cdd9fc9c37e9f261ccfd23611b9	https://oldiesoldies.com/collections/jute-bags/products/round-handle-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/round-handle-bag.html	(from https://oldiesoldies.com/collections/jute-bags)
22:01:59	69823/69823	---MCZ	200	added ('OK')	text/html	etag:cacheable:fd1dee2f5d2b37c87e8474c4b0fa307e	https://oldiesoldies.com/collections/jute-bags/products/poppies-bag-l-size	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/poppies-bag-l-size.html	(from https://oldiesoldies.com/collections/jute-bags)
22:02:00	69697/69697	---MCZ	200	added ('OK')	text/html	etag:cacheable:e3fec4ddb9aab0418746de07117bd42d	https://oldiesoldies.com/collections/jute-bags/products/poppies-bag	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/poppies-bag.html	(from https://oldiesoldies.com/collections/jute-bags)
22:02:01	141291/141291	---MCZ	200	added ('OK')	text/html	etag:cacheable:9fde68dfdf8758a1c017b17a35d32a9b	https://oldiesoldies.com/collections/jute-bags/products/jute-market-bag-in-mixed-colours-7-colours	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/jute-market-bag-in-mixed-colours-7-colours.html	(from https://oldiesoldies.com/collections/jute-bags)
22:02:02	79140/79140	---MCZ	200	added ('OK')	text/html	etag:cacheable:da4ae1fb60e98246f07fd963044b3c83	https://oldiesoldies.com/collections/jute-bags/products/jute-bag-in-natural-colour	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/jute-bags/products/jute-bag-in-natural-colour.html	(from https://oldiesoldies.com/collections/jute-bags)
22:02:03	44793/44793	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:127735ec468847be38a8bd7f800d894e	https://oldiesoldies.com/collections/select.atom	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/select.atom	(from https://oldiesoldies.com/collections/select)
22:02:04	106208/106208	---MCZ	200	added ('OK')	text/html	etag:cacheable:8fe87642cddaf97ebc4256b3e90cdb1f	https://oldiesoldies.com/collections/select?page=2	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/select4658.html	(from https://oldiesoldies.com/collections/select)
22:02:05	81862/81862	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:d96e6446675fc5413b25613c69f52845	https://oldiesoldies.com/collections/select.oembed	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/select.oembed	(from https://oldiesoldies.com/collections/select)
22:02:06	84027/84027	---MCZ	200	added ('OK')	text/html	etag:cacheable:103fb5548277b557e89af2d1cfbb897f	https://oldiesoldies.com/collections/select/products/amethyst-square-stone-925-silver-ring	/Users/kenhung/tt/tttt/oldiesoldies.com/collections/select/products/amethyst-square-stone-925-silver-ring.html	(from https://oldiesoldies.com/collections/select)
